,verb.possession,verb.social,verb.stative,verb.communication,verb.creation,verb.body,verb.contact,verb.motion,verb.cognition,verb.consumption,verb.change,verb.competition,verb.emotion,verb.perception,verb.weather
0,be,be,be,pretend,pretend,do,drive,drive,give,give,strike,strike,strike,have,blow
1,do,do,do,hum,do,wake,bear,give,bear,have,root,open,put,look,fall
2,give,give,bear,give,give,chortle,strike,arrive,wonder,try,have,get,frighten,see,light
3,bear,strike,sit,bear,bear,blink,sit,sit,put,sip,put,break,trust,sniff,set
4,have,sit,have,enrage,have,give,hug,come,come,get,come,take,like,seem,
5,put,call,come,strike,put,bear,have,snap,expect,use,snap,make,ruffle,roll,
6,bring,have,look,call,see,have,put,drift,suppose,take,slip,shoot,break,hear,
7,trust,try,star,say,repeat,put,snap,slip,see,eat,repeat,walk,hate,get,
8,borrow,put,reach,wonder,think,look,see,see,blame,want,open,catch,feel,take,
9,turn,look,falter,have,bring,gasp,throw,throw,know,need,bring,stride,pick,make,
10,get,see,survive,put,make,cry,reach,reach,choose,meet,let,hold,want,receive,
11,take,throw,let,expect,find,sob,pull,tremble,guess,don,blow,meet,annoy,tell,
12,make,reach,live,mumble,move,blow,open,pull,’,gulp,turn,jump,hold,feel,
13,receive,pull,turn,snap,raise,get,bring,bring,think,swallow,get,hit,draw,find,
14,buy,repeat,roll,suppose,work,chuckle,bend,bend,trust,help,break,got,wish,stare,
15,feel,open,count,look,hold,make,let,let,live,starve,take,rise,rise,peer,
16,find,bring,break,see,realize,snigger,wipe,turn,hear,enjoy,make,swing,enjoy,catch,
17,tap,trust,take,blame,draw,smile,turn,roll,forget,drink,begin,fight,lose,watch,
18,move,ask,make,throw,cast,feel,roll,creep,get,bolt,receive,lose,care,poke,
19,raise,let,begin,thank,dream,move,get,get,like,light,find,run,hope,squeak,
20,waddle,hear,feel,flatter,act,shake,unwrap,break,count,afford,move,start,hurt,hit,
21,catch,break,stand,bow,press,work,break,take,take,had,raise,direct,fascinate,dream,
22,pick,take,lie,reach,imagine,sneer,jerk,make,make,,shake,bet,admire,unfold,
23,hand,make,go,nod,follow,sleep,take,shoot,receive,,catch,resist,bother,notice,
24,hold,shoot,stay,guess,form,shudder,receive,walk,tell,,dye,send,fear,got,
25,pass,stand,stop,pull,lead,glare,crash,move,feel,,go,win,burst,listen,
26,keep,move,point,cry,run,yawn,feel,raise,find,,stay,play,panic,glance,
27,draw,raise,agree,repeat,start,grin,wrap,shake,stand,,stop,blast,horrify,blurt,
28,hit,work,hold,whisper,singe,got,stand,catch,catch,,pass,score,calm,enjoy,
29,cast,watch,need,ask,conduct,rise,tap,slide,doubt,,keep,overtake,,sound,
30,pay,parade,pass,let,direct,act,rap,lie,pick,,boil,cut,,touch,
31,bless,go,keep,hiss,force,help,jabbed,escape,want,,fade,guard,,recognize,
32,welcome,visit,meet,murmur,show,gawk,catch,work,remind,,jump,won,,ring,
33,sell,stop,jump,groan,play,run,lie,dodge,hold,,drop,struggle,,show,
34,got,shut,wait,get,paint,fall,stuff,pick,keep,,pelt,race,,blast,
35,leave,pass,beam,punch,perform,laugh,work,shout,realize,,fold,destroy,,hurt,
36,remember,keep,sell,count,cut,whimper,pick,go,knowin,,unfold,enter,,admire,
37,add,meet,cost,break,set,rest,rip,visit,draw,,hurry,,,cover,
38,swap,drop,leave,take,had,train,want,click,’d,,got,,,appear,
39,back,mess,read,make,destroy,breathe,stop,shuffle,wait,,long,,,tick,
40,lose,manage,measure,speak,write,play,park,stay,cast,,leave,,,crack,
41,follow,leave,lean,yell,,hurt,snivel,duck,leave,,measure,,,spot,
42,return,rise,rise,shoot,,spit,drown,stop,read,,rise,,,examine,
43,belong,act,swing,warn,,frown,shut,point,measure,,clear,,,echo,
44,fall,swing,help,receive,,squint,hold,shiver,remember,,add,,,had,
45,exchange,push,touch,tell,,relax,draw,pass,lean,,touch,,,bury,
46,collect,help,follow,find,,choke,spear,thunder,clear,,follow,,,,
47,grab,touch,form,stand,,had,hit,meet,add,,return,,,,
48,spend,back,lead,lie,,spring,seize,jump,touch,,form,,,,
49,win,fight,belong,escape,,clean,cast,draw,imagine,,become,,,,
50,gain,follow,become,dodge,,bustle,drop,chase,follow,,run,,,,
51,lend,form,run,shout,,wash,fold,hit,recognize,,fall,,,,
52,won,lead,fall,visit,,wink,welcome,scramble,believe,,start,,,,
53,rid,kill,start,address,,,got,swoop,ignore,,disappear,,,,
54,owe,run,hover,sigh,,,sting,flutter,empty,,stick,,,,
55,afford,fall,spend,howl,,,unlock,drop,bewilder,,exchange,,,,
56,had,start,resist,suggest,,,pile,hurry,confuse,,knock,,,,
57,offer,conduct,mean,remind,,,load,quiver,train,,rest,,,,
58,,direct,lend,point,,,swing,got,mind,,flatten,,,,
59,,force,contain,clap,,,press,whistle,show,,happen,,,,
60,,happen,demand,agree,,,pant,climb,mean,,mend,,,,
61,,mind,cover,pass,,,kiss,rattle,learn,,flood,,,,
62,,care,stink,wave,,,tear,billow,hope,,land,,,,
63,,resist,finish,keep,,,touch,leave,decide,,shrink,,,,
64,,march,hesitate,scribble,,,kill,flit,understand,,gain,,,,
65,,hang,owe,grunt,,,run,lean,set,,hurt,,,,
66,,play,had,swear,,,pat,rise,examine,,way,,,,
67,,perform,spring,roar,,,stick,swing,had,,speed,,,,
68,,contain,delay,draw,,,knock,push,answer,,light,,,,
69,,bother,cram,pay,,,rest,press,kindle,,finish,,,,
70,,cover,pause,drop,,,collect,hop,,,steady,,,,
71,,sneak,enter,mutter,,,facedown,stray,,,cut,,,,
72,,cut,,mention,,,grab,back,,,swell,,,,
73,,guard,,bless,,,sweep,bob,,,appear,,,,
74,,admit,,welcome,,,wrench,stumble,,,suspend,,,,
75,,set,,wish,,,slam,clamber,,,buckle,,,,
76,,rear,,sell,,,send,follow,,,burst,,,,
77,,order,,notice,,,fly,return,,,crack,,,,
78,,examine,,got,,,bite,lead,,,fume,,,,
79,,had,,read,,,sink,step,,,set,,,,
80,,struggle,,whoop,,,hang,run,,,relax,,,,
81,,offer,,clear,,,paint,cross,,,flush,,,,
82,,enter,,push,,,score,fall,,,order,,,,
83,,dare,,excuse,,,flint,flip,,,had,,,,
84,,,,press,,,frog,start,,,sear,,,,
85,,,,add,,,cover,float,,,lessen,,,,
86,,,,chorus,,,finish,stick,,,clean,,,,
87,,,,forbid,,,spill,direct,,,delay,,,,
88,,,,sound,,,strain,force,,,twinkle,,,,
89,,,,touch,,,cut,streak,,,explode,,,,
90,,,,explain,,,suspend,hover,,,vanish,,,,
91,,,,talk,,,buckle,sweep,,,lock,,,,
92,,,,return,,,crack,scurry,,,color,,,,
93,,,,lead,,,set,send,,,,,,,
94,,,,cheer,,,paw,march,,,,,,,
95,,,,direct,,,rub,fly,,,,,,,
96,,,,ignore,,,grit,land,,,,,,,
97,,,,force,,,slope,sink,,,,,,,
98,,,,snarl,,,tug,outta,,,,,,,
99,,,,rest,,,struggle,speed,,,,,,,
100,,,,train,,,clean,wander,,,,,,,
101,,,,bet,,,bury,light,,,,,,,
102,,,,mouth,,,scrape,cover,,,,,,,
103,,,,moan,,,lock,topple,,,,,,,
104,,,,mind,,,destroy,overtake,,,,,,,
105,,,,send,,,round,glide,,,,,,,
106,,,,show,,,hitch,cut,,,,,,,
107,,,,announce,,,,burst,,,,,,,
108,,,,mean,,,,changin,,,,,,,
109,,,,inform,,,,set,,,,,,,
110,,,,learn,,,,skim,,,,,,,
111,,,,wheedle,,,,dive,,,,,,,
112,,,,score,,,,spring,,,,,,,
113,,,,growl,,,,struggle,,,,,,,
114,,,,demand,,,,trail,,,,,,,
115,,,,suspect,,,,race,,,,,,,
116,,,,cover,,,,surge,,,,,,,
117,,,,transfix,,,,sidle,,,,,,,
118,,,,convince,,,,droop,,,,,,,
119,,,,complain,,,,trip,,,,,,,
120,,,,hoot,,,,enter,,,,,,,
121,,,,cut,,,,,,,,,,,
122,,,,greet,,,,,,,,,,,
123,,,,alibi,,,,,,,,,,,
124,,,,admit,,,,,,,,,,,
125,,,,set,,,,,,,,,,,
126,,,,shriek,,,,,,,,,,,
127,,,,order,,,,,,,,,,,
128,,,,bellow,,,,,,,,,,,
129,,,,examine,,,,,,,,,,,
130,,,,had,,,,,,,,,,,
131,,,,scream,,,,,,,,,,,
132,,,,transfigure,,,,,,,,,,,
133,,,,curse,,,,,,,,,,,
134,,,,screw,,,,,,,,,,,
135,,,,plead,,,,,,,,,,,
136,,,,write,,,,,,,,,,,
137,,,,answer,,,,,,,,,,,
138,,,,",",,,,,,,,,,,
139,,,,color,,,,,,,,,,,
140,,,,pause,,,,,,,,,,,
141,,,,enter,,,,,,,,,,,
